Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
51,"team0784 QZEZ01 衢州第二中学",4,09:25:48,00:05:32,,,"04:50:08 (-6)",,01:47:46,,,,00:42:22,,,
52,"team0964 jcsteam 济宁孔子学校",4,09:39:57,"00:13:45 (-2)",,,,"04:08:05 (-3)",01:00:50,,(-30),,"01:17:17 (-4)",,,
53,"team0981 金陵1队 南京市第一中学",4,10:11:56,"00:14:32 (-1)",,,"03:33:34 (-6)",(-3),01:41:25,,,,"01:22:25 (-3)",,,
54,"team0764 NFLS-T09 南京外国语学校",4,10:23:12,"00:08:18 (-1)",(-3),,,03:39:37,01:55:17,,,,"03:20:00 (-3)",,,
55,"team0776 NFLS-T21 南京外国语学校",4,10:45:24,00:11:17,,,(-2),02:45:28,"04:47:25 (-1)",,,,"02:01:14 (-2)",,,
56,"team0579 YWZX09 义乌中学",4,11:38:26,"00:44:47 (-3)",,,02:41:52,"03:37:16 (-1)",03:14:31,,,,(-10),,(-1),
57,"team0790 以应时需 浙江省瑞安中学",4,12:03:38,"00:10:08 (-3)",(-1),,(-2),"02:59:49 (-1)",01:32:50,,,,"03:40:51 (-7)",,,(-2)
58,"team0606 Dyca 合肥168中学",4,12:12:01,"00:44:27 (-3)",,,,,00:37:32,,(-4),,"02:41:36 (-9)",,04:08:26,
59,"team0946 DC1队 绵阳东辰学校",4,13:07:41,00:09:46,,,,02:02:48,"01:22:11 (-2)",,,,"03:52:56 (-15)",,,
60,"team0948 DC三虾米 绵阳东辰学校",4,13:48:49,"00:25:20 (-3)",,(-1),,"02:46:52 (-4)","01:52:55 (-1)",,,,"03:43:42 (-7)",,,
61,"team0767 NFLS-T12 南京外国语学校",4,14:17:07,"00:10:09 (-3)",,,"04:57:42 (-3)","01:59:21 (-1)","03:09:55 (-5)",,,,(-3),,,
62,"team0553 温中3队 温州中学",4,14:43:25,00:24:06,,,(-6),04:30:35,"03:14:58 (-3)",,,,"03:13:46 (-7)",,,
63,"team0772 NFLS-T17 南京外国语学校",3,04:06:49,00:11:07,(-2),,(-6),(-2),"01:48:20 (-3)",,,,"00:47:22 (-1)",,,
64,"team0085 SSL04 东莞市东莞中学松山湖学校",3,05:09:59,"00:13:47 (-2)",,,(-1),,00:37:05,,,,"01:39:07 (-6)",,,
65,"team0527 绍一2队 绍兴市第一中学",3,05:40:12,"00:08:11 (-1)",(-5),,(-4),,01:20:39,,,,"02:51:22 (-3)",,,
66,"team0768 NFLS-T13 南京外国语学校",3,07:06:34,"00:13:12 (-4)",,,,,"02:11:39 (-1)",,,,03:01:43,,,
67,"team0350 SSL08 东莞市东莞中学松山湖学校",3,08:34:17,"00:22:25 (-1)",,,,,02:53:26,,,,"03:58:26 (-3)",,,
68,"team0084 SSL03 东莞市东莞中学松山湖学校",3,09:00:56,"01:50:48 (-2)",,,(-7),,03:06:48,,,,03:23:20,,,
69,"team0983 金陵3队 南京市第一中学",3,10:35:55,"00:46:14 (-4)",,,(-1),,"03:41:15 (-1)",,,,"02:48:26 (-5)",,,
70,"team0947 BurgerKing队 绵阳东辰学校",3,11:24:17,"00:41:27 (-8)",(-5),,,"03:43:58 (-8)",01:38:52,,,,(-7),,,
71,"team0650 杭二信U队 杭州市第二中学",2,00:55:33,00:04:34,,,,,00:50:59,,,,(-2),,,
72,"team0327 双十中学2队 福建省厦门双十中学",2,01:28:19,00:10:03,,,,,01:18:16,,,,(-6),,,
73,"team0528 绍一3队 绍兴市第一中学",2,01:30:09,"00:19:38 (-1)",,,(-4),(-1),00:50:31,,,,(-4),,,
74,"team0086 SSL05 东莞市东莞中学松山湖学校",2,04:03:49,"00:26:22 (-1)",(-4),,,,"02:17:27 (-3)",,,,(-7),,,
75,"team0578 YWZX08 义乌中学",2,04:04:16,"00:36:26 (-3)",,,(-7),(-3),"02:07:50 (-1)",,,,(-9),,,
76,"team0317 华附12队 华南师范大学附属中学",2,04:07:06,"01:05:20 (-2)",,,,,02:21:46,,,,,,,
77,"team0986 ycyzxcpc 宜春幼儿师范高等专科学校",2,04:15:04,"01:51:52 (-3)",,,,,01:23:12,,,,,,,
78,"team0531 杭二1队 杭州市第二中学",2,04:21:28,"01:00:52 (-1)",,,,,"02:40:36 (-1)",,,,,,,
79,"team0087 SSL06 东莞市东莞中学松山湖学校",2,04:48:25,"00:14:56 (-1)",(-3),,,,"03:13:29 (-3)",,,,(-7),,,
80,"team0529 绍一4队 绍兴市第一中学",2,05:59:53,"02:34:13 (-3)",,,,,02:25:40,,,,(-6),,,
81,"team0778 NFLS-T23 南京外国语学校",2,07:27:55,"00:08:55 (-1)",,,,,,,,,"03:19:00 (-11)",,,
