Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
321,"team0130 咕咕嘎嘎遇不到学姐 中国计量大学",4,13:45:11,"00:21:10 (-1)",,,(-2),04:32:15,02:58:57,,,,"02:12:49 (-10)",,,
322,"team0948 DC三虾米 绵阳东辰学校",4,13:48:49,"00:25:20 (-3)",,(-1),,"02:46:52 (-4)","01:52:55 (-1)",,,,"03:43:42 (-7)",,,
323,"team0483 星忆黄昏 华南师范大学",4,13:55:03,"00:18:53 (-1)",,,,"04:20:29 (-1)",02:05:33,,,,"03:10:08 (-10)",,,
324,"team0035 暴力能解绝不优化 东北师范大学",4,13:59:10,"00:18:39 (-4)",,,,"04:56:20 (-1)",03:01:08,,,,"02:23:03 (-5)",,,
325,"team0815 nbu7 宁波大学",4,13:59:32,"00:11:49 (-1)",,,,"04:55:23 (-3)",01:50:44,,,,"03:41:36 (-6)",,,
326,"team0909 2026杭电9队 杭州电子科技大学",4,14:05:34,"00:24:11 (-1)",,,(-8),04:21:24,"02:59:16 (-3)",,,,"02:40:43 (-7)",,,
327,"team0266 搞得跟真的一样 安徽工业大学",4,14:15:03,"00:16:38 (-4)",,,(-9),03:57:13,01:08:06,,,,"02:33:06 (-15)",,,
328,"team0692 这是一个队名 长沙理工大学",4,14:16:56,"00:14:16 (-1)",,,,"04:41:09 (-1)","02:56:53 (-2)",,,,"02:24:38 (-8)",,,
329,"team0767 NFLS-T12 南京外国语学校",4,14:17:07,"00:10:09 (-3)",,,"04:57:42 (-3)","01:59:21 (-1)","03:09:55 (-5)",,,,(-3),,,
330,"team0254 榜多力：一次埋够!!!!! 中国地质大学（北京）",4,14:22:45,"00:26:37 (-2)",,,,"04:51:44 (-2)","03:08:28 (-1)",,,,"02:15:56 (-6)",,,
331,"team0927 fduteam07 复旦大学",4,14:37:53,"00:15:56 (-1)",(-3),,(-1),02:54:11,02:05:40,,,,"04:22:06 (-14)",,,
332,"team0133 这是备用账号 中国计量大学",4,14:41:31,"00:19:48 (-1)",,,,"04:31:34 (-1)",02:45:08,,,,"03:45:01 (-8)",,,
333,"team0553 温中3队 温州中学",4,14:43:25,00:24:06,,,(-6),04:30:35,"03:14:58 (-3)",,,,"03:13:46 (-7)",,,
334,"team0729 CQUFlames 重庆大学",4,14:45:38,00:08:45,(-1),,(-5),03:48:36,"02:42:17 (-3)",,,,"04:46:00 (-7)",,,
335,"team0152 ZJNU-4 浙江师范大学",4,14:58:17,"00:27:07 (-4)",,,(-1),"04:17:09 (-7)","01:42:21 (-1)",,,,"02:51:40 (-5)",,,
336,"team0700 无双 南京理工大学",4,15:14:48,"00:23:47 (-5)",,,,"04:53:21 (-3)","03:03:48 (-1)",,,,"02:53:52 (-3)",,,
337,"team0897 厦大五队 厦门大学",4,15:22:54,00:30:35,,,"03:56:21 (-5)",(-3),"03:44:59 (-1)",,,,"04:30:59 (-2)",,,
338,"team0207 湘潭大学2队 湘潭大学",4,15:23:03,"00:33:27 (-5)",(-1),,,"04:51:47 (-5)","03:10:54 (-2)",,,,"01:46:55 (-3)",,,
339,"team0670 scmzu01 中南民族大学",4,15:31:00,"00:22:32 (-5)",,,(-1),"04:14:33 (-7)",02:50:09,,,,"02:23:46 (-5)",,,
340,"team0183 苏州大学5队 苏州大学",4,15:31:21,"00:15:31 (-1)",,,(-3),"03:51:18 (-1)","03:38:25 (-1)",,(-1),,"02:06:07 (-14)",,,
341,"team0827 宁静致远 华中科技大学",4,15:49:00,"00:23:37 (-3)",,,"03:51:19 (-4)","04:10:02 (-1)",04:44:02,,,,,,,
342,"team0197 进击的霓裳 长春理工大学",4,16:13:40,"00:27:53 (-2)",,,,"03:30:40 (-4)","04:39:29 (-12)",,,,"01:15:38 (-1)",,,
343,"team0655 NJU-T05 南京大学",4,16:52:31,00:14:54,,,,"04:33:17 (-1)",02:02:32,,,,"03:41:48 (-18)",,,
344,"team0256 码上要疯了 中国地质大学（北京）",4,16:59:51,00:20:29,(-1),(-2),,"03:32:05 (-1)","02:28:29 (-2)",,,,"03:58:48 (-17)",,,
345,"team0433 csu005 中南大学",4,18:26:25,"00:35:43 (-1)",,,,04:25:45,"04:53:20 (-3)",,,,"02:31:37 (-14)",,,
346,"team0259 东华大学二队 东华大学",4,25:53:17,"00:15:33 (-2)",,,(-2),03:41:36,"01:37:37 (-2)",,,,"03:58:31 (-45)",,,
347,"team0472 njupt26t12 南京邮电大学",4,29:24:50,"00:28:00 (-4)",,,"04:29:21 (-12)",,"04:13:29 (-3)",,,,"04:34:00 (-28)",,,
348,"team0379 她会回来吗 南阳理工学院",3,02:49:04,00:14:28,(-1),(-1),(-14),(-1),01:39:47,(-1),(-1),(-1),00:54:49,(-1),(-1),(-1)
349,"team0705 卡卡 吉林大学",3,03:17:10,00:04:32,,,(-2),"01:43:35 (-2)",00:49:03,,(-7),,(-1),,,
350,"team0702 雪泥鸿爪 吉林大学",3,03:21:10,"00:42:12 (-2)",,,(-1),,00:31:50,,,,"01:07:08 (-1)",,,
351,"team0851 zafu6 浙江农林大学",3,03:31:26,00:21:14,,,(-2),02:13:02,00:57:10,,,,(-19),,,
352,"team0162 宁波理工3队 浙大宁波理工学院",3,04:03:13,"00:24:50 (-1)",,,,,01:45:25,,,,01:32:58,,,
353,"team0772 NFLS-T17 南京外国语学校",3,04:06:49,00:11:07,(-2),,(-6),(-2),"01:48:20 (-3)",,,,"00:47:22 (-1)",,,
354,"team0272 #define_int_long_long 中国地质大学（武汉）",3,04:11:33,00:14:53,,,(-4),,01:17:31,,,,"01:59:09 (-2)",,,
355,"team0800 在此输入队名 南开大学",3,04:23:05,00:11:46,,,,,01:41:23,,,,"01:29:56 (-3)",,,
356,"team0899 厦大七队 厦门大学",3,04:24:45,00:13:25,,,,(-4),"01:46:39 (-1)",,,,"01:44:41 (-1)",,,
357,"team0226 南大软院2队 南昌大学",3,04:25:38,"00:12:39 (-1)",,,,,"01:55:26 (-1)",,,,"01:17:33 (-1)",,,
358,"team0414 庐州月光洒在心上 安徽农业大学",3,04:27:49,"00:24:27 (-1)",,,,,"01:01:29 (-1)",,,,"02:01:53 (-1)",,,
359,"team0493 贷款也要打XCPC 北京理工大学",3,04:30:12,"00:18:36 (-2)",(-2),,(-4),,02:20:50,,,,01:10:46,,,
360,"team0136 铁花飞 长江大学",3,04:34:33,"00:15:01 (-2)",,,(-5),,01:31:57,,,,"00:47:35 (-4)",,,
361,"team0624 新生也疯狂-1 杭州电子科技大学",3,04:49:39,00:18:55,,,03:06:34,,01:24:10,,,,(-7),,,
362,"team0305 河工二队 河南工程学院",3,04:52:12,"00:30:52 (-3)",,,,,"01:46:36 (-2)",,,,00:54:44,,,
363,"team0865 SHU03 上海大学",3,04:55:29,"00:11:12 (-1)",,,,,01:04:08,,,,"02:40:09 (-2)",,,
364,"team0823 终帆粉丝团 华中科技大学",3,04:57:28,,,,01:41:49,01:11:38,,,,,02:04:01,,,
365,"team0085 SSL04 东莞市东莞中学松山湖学校",3,05:09:59,"00:13:47 (-2)",,,(-1),,00:37:05,,,,"01:39:07 (-6)",,,
366,"team0938 HKUST(GZ)003 香港科技大学",3,05:14:19,00:21:27,,,,,02:43:28,,,,"01:49:24 (-1)",,,
367,"team0040 LHW 山东大学",3,05:19:37,00:18:22,,,(-5),,"01:43:28 (-1)",,,,"02:17:47 (-2)",,,(-1)
368,"team0666 NJU-T16 南京大学",3,05:29:56,"00:13:03 (-2)",,,,(-1),"00:41:08 (-2)",,,,"02:15:45 (-3)",,,
369,"team0699 福建师范大学一队 福建师范大学",3,05:33:32,"00:20:27 (-1)",,,(-1),(-1),01:20:52,,,,"01:32:13 (-6)",,,
370,"team0346 样例过了就是过了 南京理工大学",3,05:35:11,"00:28:43 (-1)",,,,(-1),01:55:03,,,,"01:51:25 (-3)",,,
371,"team0019 ZJUT2 浙江工业大学",3,05:35:23,"00:27:05 (-2)",,,,"03:06:17 (-1)",01:02:01,,,,(-10),,,
372,"team0004 组一辈子ACM队 西安电子科技大学",3,05:37:47,00:19:42,,,,03:49:56,01:28:09,,,,(-9),,,
373,"team0527 绍一2队 绍兴市第一中学",3,05:40:12,"00:08:11 (-1)",(-5),,(-4),,01:20:39,,,,"02:51:22 (-3)",,,
374,"team0838 dyh 江西理工大学",3,05:44:26,00:15:33,,,,03:51:02,01:37:51,,,,(-3),,,
375,"team0081 涉大一队 湖南涉外经济学院",3,05:44:49,"00:16:17 (-1)",,,,,"01:09:38 (-1)",,,,"02:38:54 (-3)",,,
376,"team0966 nbu12 宁波大学",3,05:45:41,00:17:56,,,,,"01:46:12 (-2)",,,,"02:41:33 (-1)",,,
377,"team0796 优雅绽放的墨染樱 北京航空航天大学",3,05:47:16,00:06:59,(-1),,(-3),(-1),"03:39:23 (-1)",,,,"01:20:54 (-1)",,,
378,"team0182 苏州大学4队 苏州大学",3,05:52:08,"00:34:36 (-1)",,,,,03:33:42,,,,"00:43:50 (-2)",,,
379,"team0180 苏州大学2队 苏州大学",3,05:55:00,"00:34:31 (-2)",,,,"02:24:04 (-2)",,,,,"01:16:25 (-1)",,,
380,"team0235 浙江财经大学3队 浙江财经大学",3,06:06:11,00:19:34,,,,,01:10:20,,,,"02:16:17 (-7)",,,
381,"team0878 NUAA06 南京航空航天大学",3,06:09:14,"00:31:12 (-1)",,,"02:59:09 (-1)",(-1),"01:38:53 (-1)",,,,(-10),,,(-9)
382,"team0189 不对也队 中国传媒大学",3,06:09:19,00:13:52,,,,,"03:52:34 (-2)",,,,"01:02:53 (-1)",,,
383,"team0456 NEU_Team14 东北大学",3,06:10:22,"00:15:56 (-1)",,,"03:33:32 (-3)",,(-7),,,,01:00:54,,,
384,"team0965 nbu11 宁波大学",3,06:11:57,"00:14:35 (-1)",,,,,01:57:50,,,,03:39:32,,,
385,"team0447 NEU_Team05 东北大学",3,06:12:20,00:14:10,,,(-2),"04:04:57 (-1)",01:33:13,,,,(-2),,,
386,"team0919 秋千月 兰州大学",3,06:14:51,00:20:58,,,,,00:46:38,,(-1),,"04:47:15 (-1)",,,
387,"team0382 好风凭借力 南阳理工学院",3,06:17:23,00:13:32,,,,,01:44:55,,,,"03:38:56 (-2)",,,
388,"team0262 我真的能拿牌子吗不如睡大觉 东北大学秦皇岛分校",3,06:18:52,"00:13:48 (-1)",,,,,"01:05:02 (-2)",,,,"03:20:02 (-2)",,,
389,"team0803 技术三剑客 南开大学",3,06:28:52,"00:43:56 (-1)",,,(-1),03:20:06,"01:44:50 (-1)",,,,(-20),,,
390,"team0835 Dango 河南农业大学",3,06:28:57,"00:24:42 (-4)",,,,02:49:51,"00:54:24 (-3)",,,,(-9),,,
391,"team0940 HKUST(GZ)005 香港科技大学",3,06:29:57,00:11:25,,,,"04:42:15 (-1)","00:56:17 (-1)",,,,(-21),,,
392,"team0837 万里2队 浙江万里学院",3,06:39:05,"00:34:34 (-1)",,,,,01:47:30,,,,"02:17:01 (-5)",,,
393,"team0415 HZCU01 浙大城市学院",3,06:42:24,"00:17:28 (-2)",,,(-2),03:28:58,"01:55:58 (-1)",,,,(-15),,,
394,"team0023 ZJUT6 浙江工业大学",3,06:43:34,"00:34:42 (-2)",,,,,01:39:35,,,,"03:09:17 (-2)",,,
395,"team0250 cuit1 成都信息工程大学",3,06:45:16,00:18:00,(-9),,,,"03:09:51 (-2)",,,,"01:37:25 (-3)",,,
396,"team0673 scmzu04 中南民族大学",3,06:47:17,"00:31:41 (-3)",,,,,03:10:47,,,,02:04:49,,,
397,"team0195 猪璧联合 佛山大学",3,06:49:04,"00:26:20 (-1)",,,,(-1),04:18:13,,,,01:44:31,,,
398,"team0887 奶龙小学 个人训练",3,06:49:16,"00:54:47 (-3)",,,,,"01:16:44 (-1)",,,,"02:57:45 (-1)",,,
399,"team0752 无意义队名 个人训练",3,06:52:09,"00:14:09 (-2)",,,,,"01:51:45 (-1)",,,,"02:26:15 (-4)",,,
400,"team0333 cumt6 中国矿业大学",3,06:52:13,00:16:58,,,,(-3),03:15:56,,,,"01:39:19 (-5)",,,
401,"team0106 鹰号 山东科技大学",3,06:58:15,00:39:24,,,,"03:48:29 (-2)","01:30:22 (-1)",,,,(-10),,,
402,"team0416 HZCU02 浙大城市学院",3,06:59:27,"00:16:32 (-1)",,,,"04:25:46 (-2)","00:57:09 (-1)",,,,(-9),,,
403,"team0596 提姆思诶可思 天津大学",3,07:04:50,"00:22:56 (-1)",,,,,04:53:04,,,,01:28:50,,,
404,"team0200 明德博学求是创新 长春理工大学",3,07:05:18,"00:11:46 (-2)",,,,,04:46:59,,,,"01:06:33 (-1)",,,
405,"team0213 HITS003 哈尔滨工业大学",3,07:06:13,00:14:41,,,,,01:30:58,,,,"04:00:34 (-4)",,,
406,"team0715 编C++编的 吉林大学",3,07:06:32,"00:47:42 (-2)",,,,,03:57:25,,,,"01:21:25 (-1)",,,
407,"team0768 NFLS-T13 南京外国语学校",3,07:06:34,"00:13:12 (-4)",,,,,"02:11:39 (-1)",,,,03:01:43,,,
408,"team0489 ecnu06 华东师范大学",3,07:06:59,00:17:13,,,(-2),,"03:59:27 (-1)",,,,"02:10:19 (-1)",,(-5),
409,"team0709 时代码戏团 吉林大学",3,07:12:44,00:11:03,,,,04:08:06,"02:33:35 (-1)",,,,(-11),,,
410,"team0132 我也要打杭电多校吗 中国计量大学",3,07:13:21,"00:24:33 (-2)",,,,,"02:55:28 (-1)",,,,"01:33:20 (-4)",,,
411,"team0820 超时喵限 大连海事大学",3,07:19:16,"00:14:55 (-1)",,,,,02:54:15,,,,"02:30:06 (-4)",,,
412,"team0907 2026杭电7队 杭州电子科技大学",3,07:20:00,"00:09:34 (-1)",,,(-10),(-3),"03:36:29 (-1)",,,,"02:13:57 (-2)",,,
413,"team0219 万业有日涅槃无枝 大连理工大学",3,07:23:57,"00:50:00 (-1)",,,,,03:10:37,,,,"02:43:20 (-1)",,,
414,"team0028 打完回家玩超级好玩的我的世界有没有懂的 长春大学",3,07:25:39,"00:30:38 (-1)",,,,,03:24:20,,,,"02:10:41 (-3)",,,
415,"team0164 宁波理工5队 浙大宁波理工学院",3,07:27:43,00:29:25,,,,(-3),02:46:43,,,,"03:11:35 (-3)",,,
416,"team0015 DJ.皇牌梦之队 广东工业大学",3,07:29:38,"00:54:01 (-2)",,,,,03:33:15,,,,"02:02:22 (-1)",,,
417,"team0117 打ACM但是AC不了只剩M 华东师范大学",3,07:36:32,00:27:17,,(-1),,,"03:35:33 (-1)",,,,"01:53:42 (-4)",,(-7),(-2)
418,"team0104 丽水学院3 丽水学院",3,07:40:23,00:17:22,,,,,"03:53:53 (-2)",,,,"01:29:08 (-4)",,,
419,"team0818 nbu10 宁波大学",3,07:41:31,00:24:49,,,,,02:15:12,,,,"02:41:30 (-7)",,,
420,"team0723 教练说不拿金牌就延毕 云南大学",3,07:41:49,"00:16:50 (-2)",,,,,"02:03:34 (-1)",,,,"01:21:25 (-9)",,,
421,"team0188 奶界最忧郁之龙 中国传媒大学",3,07:52:33,"00:19:51 (-2)",,,,,02:15:33,,,,"03:17:09 (-4)",,,
422,"team0181 苏州大学3队 苏州大学",3,07:58:05,"00:27:12 (-1)",,,,04:15:19,"02:15:34 (-2)",,,,(-6),,,
423,"team0676 我也要AK吗 浙江科技大学",3,08:06:55,"00:47:37 (-3)",,,,,03:17:52,,,,"02:21:26 (-2)",,,
424,"team0025 净赚两块二毛二 河南农业大学",3,08:07:15,"00:28:09 (-2)",,,,,"03:45:11 (-2)",,,,"01:33:55 (-3)",,,
425,"team0362 花团锦簇分队 河南工业大学",3,08:07:55,"00:20:43 (-1)",,,,"04:52:22 (-2)","01:14:50 (-2)",,,,(-10),,,
426,"team0467 njupt26t07 南京邮电大学",3,08:09:19,"00:50:59 (-2)",,,,,02:18:25,,,,"03:19:55 (-3)",,,
427,"team0393 罚时 湖南农业大学",3,08:11:40,"01:07:36 (-4)",,,,,03:20:30,,,,"02:03:34 (-1)",,,
428,"team0012 空越之鸽 广东工业大学",3,08:12:07,00:06:16,,,(-12),,"04:28:17 (-3)",,,,"01:17:34 (-4)",,,
429,"team0328 cumt1 中国矿业大学",3,08:12:15,00:30:05,,,(-8),,"02:22:14 (-1)",,,,"02:59:56 (-6)",,,
430,"team0158 擢升 华中农业大学",3,08:13:28,"00:12:29 (-1)",,,,,03:28:04,,,,"01:52:55 (-7)",,,
431,"team0654 NJU-T04 南京大学",3,08:13:57,00:54:57,,,,,01:51:40,,,,"04:07:20 (-4)",,,
432,"team0720 告白氧球 吉林大学",3,08:16:05,00:12:36,,,,,"03:08:57 (-2)",,,,"02:34:32 (-5)",,,
433,"team0463 njupt26t03 南京邮电大学",3,08:16:19,"00:32:13 (-3)",,,,,"01:26:34 (-1)",,,,"03:17:32 (-5)",,,
434,"team0960 加油努力 东华理工大学",3,08:17:24,"00:31:30 (-4)",,,,,02:10:10,,,,"03:15:44 (-3)",,,
435,"team0731 帮帮我吧图灵大人 重庆大学",3,08:21:37,"00:27:34 (-2)",,,"03:25:50 (-3)",,"01:28:13 (-4)",,,,(-8),,,(-1)
436,"team0385 H神酱味大鸡 南阳理工学院",3,08:25:56,00:09:25,,,,(-6),03:28:34,,,,"03:07:57 (-5)",,,
437,"team0882 NUAA10 南京航空航天大学",3,08:26:34,"00:45:40 (-1)",,,,,02:47:09,,,,"03:33:45 (-3)",,,
438,"team0475 njupt26t15 南京邮电大学",3,08:27:10,"00:59:43 (-3)",,,,,"02:06:37 (-1)",,,,04:00:50,,,
439,"team0014 你愿意和我打一辈子acm吗 广东工业大学",3,08:28:59,"00:29:49 (-3)",,,,,02:56:48,,,,"03:22:22 (-2)",,,
440,"team0236 浙江财经大学4队 浙江财经大学",3,08:29:03,"00:15:09 (-2)",,,,,"01:05:24 (-4)",,,,"03:08:30 (-6)",,,
441,"team0066 南苑一队 河南工程学院",3,08:30:58,"00:27:59 (-1)",,,,,"02:04:24 (-2)",,,,"04:18:35 (-2)",,,
442,"team0471 njupt26t11 南京邮电大学",3,08:32:39,"00:47:00 (-3)",,,"04:21:41 (-3)",(-1),01:23:58,,,,(-3),,,
443,"team0103 丽水学院2 丽水学院",3,08:33:50,"00:21:14 (-1)",,,,,02:25:17,,,,"03:47:19 (-5)",,,
444,"team0350 SSL08 东莞市东莞中学松山湖学校",3,08:34:17,"00:22:25 (-1)",,,,,02:53:26,,,,"03:58:26 (-3)",,,
445,"team0359 HNUTEAM08 湖南大学",3,08:37:13,01:57:19,,,,,02:14:12,(-2),,,(-3),,04:25:42,
446,"team0021 ZJUT4 浙江工业大学",3,08:37:24,"00:34:50 (-3)",,,,"04:31:53 (-1)",02:10:41,,,,(-7),,,
447,"team0185 嗷呜呜呜 中国传媒大学",3,08:38:25,"01:39:59 (-1)",,,,,"04:03:30 (-1)",,,,"01:34:56 (-2)",,,
448,"team0713 我也要AC吗 吉林大学",3,08:40:34,"00:22:27 (-2)",,,"02:28:51 (-6)",(-1),"02:29:16 (-2)",,,,(-10),,,
449,"team0241 NUIST_故障机器人 南京信息工程大学",3,08:43:47,"00:42:41 (-2)",,,,,"03:44:20 (-1)",,,,"02:36:46 (-2)",,,
450,"team0187 可持久化扫福瑞 中国传媒大学",3,08:45:40,"00:10:14 (-1)",,,,(-2),"02:17:54 (-2)",,,,"03:57:32 (-4)",,,
451,"team0381 豪情在天 南阳理工学院",3,08:48:03,"00:39:46 (-2)",,,,,"02:36:34 (-3)",,,,"02:11:43 (-5)",,,
452,"team0169 山水树人 北京林业大学",3,08:51:48,00:10:01,,,,(-2),"02:09:39 (-1)",,,,"04:32:08 (-5)",,,
453,"team0170 拿牌三条龙 北京林业大学",3,08:52:04,"00:38:02 (-1)",,,,,"02:58:15 (-3)",,,,"01:55:47 (-6)",,,
454,"team0131 西红柿炒番茄 中国计量大学",3,08:52:09,"00:13:29 (-1)",,,,,"04:03:31 (-2)",,,,"02:15:09 (-4)",,,
455,"team0339 意如计网1队 中国传媒大学",3,08:52:47,00:12:20,,,,,01:42:59,,,,"04:17:28 (-8)",,,
456,"team0194 想要成为赛码高手 佛山大学",3,08:52:57,"00:28:49 (-1)",,,(-1),,03:53:35,,,,"03:10:33 (-3)",,,
457,"team0623 杭电元老队 杭州电子科技大学",3,08:57:14,01:37:13,,,"04:30:58 (-2)",,02:09:03,,,,(-6),,,
458,"team0016 螺旋飞升 广东工业大学",3,08:58:42,"00:09:27 (-1)",,,(-3),,"04:08:28 (-1)",,,,"02:40:47 (-4)",,,
459,"team0084 SSL03 东莞市东莞中学松山湖学校",3,09:00:56,"01:50:48 (-2)",,,(-7),,03:06:48,,,,03:23:20,,,
460,"team0452 NEU_Team10 东北大学",3,09:00:59,"00:18:07 (-1)",,,,,03:59:28,,,,"02:43:24 (-5)",,,
461,"team0388 丽水学院5 丽水学院",3,09:02:25,"00:40:47 (-5)",,,,,02:02:52,,,,"04:18:46 (-1)",,,
462,"team0298 吃瓜群众 成都理工大学",3,09:07:58,"00:38:54 (-4)",,,,,"03:12:01 (-2)",,,,"01:57:03 (-4)",,,
463,"team0013 取名好难 广东工业大学",3,09:11:31,00:35:07,,,,04:43:49,"03:12:35 (-2)",,,,(-10),,,
464,"team0401 GXU-T3 广西大学",3,09:17:15,00:10:06,,,(-2),(-1),"03:08:35 (-1)",,,,"03:58:34 (-5)",,,
465,"team0448 NEU_Team06 东北大学",3,09:18:11,"00:27:42 (-1)",,,,"04:44:24 (-1)","02:26:05 (-3)",,,,(-8),,,
466,"team0487 ecnu04 华东师范大学",3,09:18:47,02:03:27,,,,,02:48:23,,,,"03:46:57 (-2)",,,
467,"team0142 zfc4队 浙江金融职业学院",3,09:20:50,"00:24:26 (-2)",,,,,01:52:21,,,,"03:44:03 (-8)",,,
468,"team0062 哦吼吼吼吼 广西师范大学",3,09:29:01,00:10:44,,,,"04:31:33 (-2)",,,,,"02:06:44 (-6)",,,
469,"team0174 湖州师大1队 湖州师范大学",3,09:29:50,"00:51:16 (-3)",,,,,04:03:33,,,,"02:55:01 (-2)",,,
470,"team0417 HZCU03 浙大城市学院",3,09:31:54,"00:52:15 (-8)",,,,,"02:43:52 (-1)",,,,"01:55:47 (-3)",,,
471,"team0228 南大软院4队 南昌大学",3,09:32:48,"00:26:26 (-2)",,(-6),,,"01:59:01 (-4)",,,,"02:47:21 (-7)",,,
472,"team0492 只有样例全队 北京理工大学",3,09:33:33,"00:18:58 (-1)",,,,,"01:23:53 (-1)",,,,"04:30:42 (-8)",,,
473,"team0438 zafu4 浙江农林大学",3,09:33:36,00:10:09,,,,,"02:27:45 (-2)",,,,"04:35:42 (-5)",,,
474,"team0199 静默铁甲机器人 长春理工大学",3,09:34:13,00:16:47,,,,(-3),"02:27:25 (-2)",,,,"03:30:01 (-8)",,,
475,"team0344 点击输入队名 河南工业大学",3,09:37:53,"00:09:13 (-2)",,,(-6),,01:26:34,,,,"03:02:06 (-13)",,,
476,"team0398 不抛弃不放弃【花】【花】【花】 华中农业大学",3,09:39:37,"00:38:44 (-4)",,,,,"03:22:36 (-1)",,,,"02:58:17 (-3)",,,
477,"team0469 njupt26t09 南京邮电大学",3,09:39:51,"00:24:47 (-1)",,,,,"03:45:46 (-1)",,,,"02:29:18 (-7)",,,
478,"team0166 BFBOYS 北京林业大学",3,09:39:58,"00:26:05 (-3)",,,(-3),,"01:42:07 (-1)",,,,"03:11:46 (-9)",,,
479,"team0271 hpu3 河南理工大学",3,09:40:26,"00:28:33 (-2)",,,,,"04:16:44 (-3)",,,,"02:55:09 (-1)",,,
480,"team0203 喝生椰就不会拿铁咯 湖南农业大学",3,09:41:46,"00:13:27 (-1)",,,(-5),(-3),"01:41:24 (-4)",,,,"02:46:55 (-10)",,,
481,"team0239 NUIST_储君 南京信息工程大学",3,09:46:36,"00:26:27 (-1)",,,,,"04:38:03 (-1)",,,,"02:42:06 (-4)",,,
482,"team0672 scmzu03 中南民族大学",3,09:47:27,"00:24:07 (-4)",,,,,"03:33:19 (-2)",,,(-1),"02:30:01 (-4)",,,
483,"team0400 GXU-T2 广西大学",3,09:53:08,"00:21:32 (-2)",,,,,"02:59:47 (-2)",,,,"04:11:49 (-3)",,,
484,"team0208 湘潭大学3队 湘潭大学",3,09:53:38,"00:34:08 (-2)",,,,,"04:02:00 (-9)",,,,"00:57:30 (-2)",,,
485,"team0739 南昌理工学院7队 南昌理工学院",3,09:59:56,00:12:26,,,,,02:00:58,,,,"04:06:32 (-11)",,,
486,"team0011 一笑了之 宁夏大学",3,10:02:39,"00:19:45 (-2)",,,"03:12:56 (-7)",,03:29:58,,,,(-11),,,
487,"team0168 符文编译法则 北京林业大学",3,10:13:05,"00:32:42 (-1)",,,,,"02:54:19 (-3)",,,,"02:26:04 (-9)",,,
488,"team0237 NUIST_铁甲战士 南京信息工程大学",3,10:16:15,"00:27:06 (-1)",,,,,03:10:03,,,,"04:39:06 (-5)",,,
489,"team0443 NEU_Team01 东北大学",3,10:18:01,00:13:05,,,,,"04:38:22 (-3)",,,,"03:06:34 (-4)",,,
490,"team0249 贪吃猫猫头 南京理工大学",3,10:20:43,"00:24:05 (-1)",,,,"04:57:35 (-1)",04:19:03,,,,(-12),,,
491,"team0466 njupt26t06 南京邮电大学",3,10:21:40,"01:33:07 (-7)",,,,03:26:21,"02:42:12 (-1)",,,,(-4),,,
492,"team0468 njupt26t08 南京邮电大学",3,10:23:08,01:03:09,,,(-4),(-1),"01:18:53 (-1)",,,,"04:41:06 (-9)",,,
493,"team0812 nbu4 宁波大学",3,10:23:09,"00:38:49 (-6)",,,,(-1),"02:26:57 (-3)",,,,"02:17:23 (-6)",,,
494,"team0372 雪月花 南昌大学",3,10:26:31,"00:15:08 (-2)",,,,(-5),"04:10:16 (-2)",,,,"03:21:07 (-4)",,,
495,"team0099 重生之忘带前世记忆打acm 北京邮电大学",3,10:27:17,"00:22:40 (-1)",,,,,"01:25:51 (-1)",,,,"04:58:46 (-9)",,,
496,"team0719 前有绝景 吉林大学",3,10:32:15,"00:29:49 (-1)",,,(-4),,01:47:12,,,,"03:55:14 (-12)",,,
497,"team0465 njupt26t05 南京邮电大学",3,10:32:23,"00:28:27 (-3)",,,,,"02:10:43 (-2)",,,,"04:53:13 (-4)",,,
498,"team0002 小弱0网恋遇到女铁T 大连大学",3,10:33:14,"00:19:26 (-1)",,,,,"02:00:40 (-14)",,,,"01:33:08 (-5)",,,
499,"team0163 宁波理工4队 浙大宁波理工学院",3,10:34:22,"00:22:29 (-1)",,,,,01:53:43,,,,"03:58:10 (-12)",,,
500,"team0983 金陵3队 南京市第一中学",3,10:35:55,"00:46:14 (-4)",,,(-1),,"03:41:15 (-1)",,,,"02:48:26 (-5)",,,
501,"team0864 SHU02 上海大学",3,10:35:57,"00:40:28 (-4)",,,,04:30:27,"03:25:02 (-2)",,,,(-4),,,
502,"team0212 HITS002 哈尔滨工业大学",3,10:36:24,00:07:08,,,(-2),,"03:11:23 (-2)",,,,"03:57:53 (-8)",,,
503,"team0358 HNUTEAM07 湖南大学",3,10:36:28,"00:21:08 (-1)",,,(-2),,02:54:04,,,,"03:41:16 (-10)",,,
504,"team0157 凭什么遗憾留给我 华中农业大学",3,10:38:14,"00:14:05 (-1)",,,,"04:33:53 (-4)",,,,,"02:10:16 (-6)",,,
505,"team0746 Here_for_Balloons 哈尔滨工业大学（威海）",3,10:46:24,"00:26:01 (-1)",,,,,"02:30:36 (-6)",,,,"03:49:47 (-5)",,,
506,"team0869 SHU07 上海大学",3,10:49:56,"00:46:07 (-1)",,,,,01:47:32,,,,"04:16:17 (-11)",,,
507,"team0898 厦大六队 厦门大学",3,10:51:36,"01:17:33 (-6)",,,,,"03:32:50 (-3)",,,,"02:01:13 (-3)",,,
