Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
46,"team0321 hit1队 哈尔滨工业大学（深圳）",7,22:39:38,"04:03:52 (-5)",,,01:49:07,,03:52:11,"03:43:33 (-2)",00:51:02,,"01:04:32 (-1)",04:35:21,
47,"team0989 湘岚I 湖南第一师范学院",7,23:40:25,(-1),04:45:24,,02:53:33,04:30:13,(-1),03:25:41,03:52:55,,01:54:51,02:17:48,
48,"team0499 清华附中2队 清华大学附属中学",7,27:20:40,04:26:08,,,"04:46:17 (-3)",,"03:32:03 (-1)","04:16:40 (-4)",01:11:12,,03:06:08,"02:42:12 (-2)",
49,"team0806 想成为女铜吧 南开大学",6,08:03:55,,,(-2),01:54:56,,00:33:34,01:42:23,"01:05:16 (-1)",,01:22:50,01:04:56,
50,"team0423 长郡中学1队 长沙市长郡中学",6,08:48:50,,,,02:52:48,,00:20:29,02:15:52,"01:03:53 (-1)",,01:21:54,00:33:54,
51,"team0729 CQUFlames 重庆大学",6,10:17:45,03:36:37,,,"01:37:20 (-1)",,(-3),"02:01:30 (-1)","00:51:54 (-1)",,00:50:28,00:19:56,
52,"team0018 ZJUT1 浙江工业大学",6,10:38:56,,(-6),(-15),01:50:01,,02:27:03,03:19:41,"00:53:21 (-1)",,"01:03:09 (-1)",00:25:41,
53,"team0930 fduteam10 复旦大学",6,11:31:00,03:01:41,,(-4),"01:25:09 (-3)",(-4),,02:02:31,"00:49:08 (-7)",,00:35:49,00:16:42,
54,"team0894 厦大二队 厦门大学",6,11:41:02,,,,"02:33:41 (-1)",,04:25:45,02:05:30,00:34:51,,01:03:26,00:37:49,
55,"team0756 NFLS-T01 南京外国语学校",6,12:08:48,,,(-9),"02:35:10 (-5)",,"03:38:56 (-4)",00:33:37,01:05:44,,00:17:41,00:57:40,
