IBM-1160  ok: IBM-1160
IBM1160  ok: IBM1160
IBM-1161  fail: IBM-1161
IBM1161  fail: IBM1161
IBM-1162  fail: IBM-1162
IBM1162  fail: IBM1162
IBM-1163  ok: IBM-1163
IBM1163  ok: IBM1163
IBM-1164  ok: IBM-1164
IBM1164  ok: IBM1164
IBM-1166  ok: IBM-1166
IBM1166  ok: IBM1166
IBM-1167  ok: IBM-1167
IBM1167  ok: IBM1167
IBM-12712  fail: IBM-12712
IBM12712  fail: IBM12712
IBM-1364  fail: IBM-1364
IBM1364  fail: IBM1364
IBM-1371  fail: IBM-1371
IBM1371  fail: IBM1371
IBM-1388  fail: IBM-1388
IBM1388  fail: IBM1388
IBM-1390  ok: IBM-1390
IBM1390  ok: IBM1390
IBM-1399  ok: IBM-1399
IBM1399  ok: IBM1399
IBM-16804  fail: IBM-16804
IBM16804  fail: IBM16804
IBM256  ok: IBM256
IBM273  ok: IBM273
IBM274  fail: IBM274
IBM275  fail: IBM275
IBM277  ok: IBM277
IBM278  ok: IBM278
IBM280  ok: IBM280
IBM281  fail: IBM281
IBM284  ok: IBM284
IBM285  ok: IBM285
IBM290  fail: IBM290
IBM297  ok: IBM297
IBM367  fail: IBM367
IBM420  fail: IBM420
IBM423  fail: IBM423
IBM424  fail: IBM424
IBM437  ok: IBM437
IBM-4517  fail: IBM-4517
IBM4517  fail: IBM4517
IBM-4899  fail: IBM-4899
IBM4899  fail: IBM4899
IBM-4909  fail: IBM-4909
IBM4909  fail: IBM4909
IBM-4971  fail: IBM-4971
IBM4971  fail: IBM4971
IBM500  ok: IBM500
IBM-5347  ok: IBM-5347
IBM5347  ok: IBM5347
IBM775  ok: IBM775
IBM-803  fail: IBM-803
IBM803  fail: IBM803
IBM813  fail: IBM813
IBM819  ok: IBM819
IBM848  ok: IBM848
IBM850  ok: IBM850
IBM851  ok: IBM851
IBM852  ok: IBM852
IBM855  ok: IBM855
IBM-856  fail: IBM-856
IBM856  fail: IBM856
IBM857  fail: IBM857
IBM858  ok: IBM858
IBM860  ok: IBM860
IBM861  ok: IBM861
IBM862  ok: IBM862
IBM863  ok: IBM863
IBM864  fail: IBM864
IBM865  ok: IBM865
IBM866  ok: IBM866
IBM866NAV  ok: IBM866NAV
IBM868  fail: IBM868
IBM869  fail: IBM869
IBM870  ok: IBM870
IBM871  ok: IBM871
IBM874  fail: IBM874
IBM875  fail: IBM875
IBM880  fail: IBM880
IBM891  fail: IBM891
IBM-901  ok: IBM-901
IBM901  ok: IBM901
IBM-902  ok: IBM-902
IBM902  ok: IBM902
IBM903  fail: IBM903
IBM-9030  ok: IBM-9030
IBM9030  ok: IBM9030
IBM904  fail: IBM904
IBM905  fail: IBM905
IBM-9066  fail: IBM-9066
IBM9066  fail: IBM9066
IBM912  ok: IBM912
IBM915  ok: IBM915
IBM916  fail: IBM916
IBM918  fail: IBM918
IBM920  ok: IBM920
IBM-921  ok: IBM-921
IBM921  ok: IBM921
IBM-922  ok: IBM-922
IBM922  ok: IBM922
IBM-930  fail: IBM-930
IBM930  fail: IBM930
IBM-932  fail: IBM-932
IBM932  fail: IBM932
IBM-933  fail: IBM-933
IBM933  fail: IBM933
IBM-935  fail: IBM-935
IBM935  fail: IBM935
IBM-937  fail: IBM-937
IBM937  fail: IBM937
IBM-939  fail: IBM-939
IBM939  fail: IBM939
IBM-943  fail: IBM-943
IBM943  fail: IBM943
IBM-9448  ok: IBM-9448
IBM9448  ok: IBM9448
IEC_P27-1  ok: IEC_P27-1
IEC_P271  ok: IEC_P271
INIS  fail: INIS
INIS-8  fail: INIS-8
INIS8  fail: INIS8
INIS-CYRILLIC  fail: INIS-CYRILLIC
INISCYRILLIC  fail: INISCYRILLIC
ISIRI-3342  fail: ISIRI-3342
ISIRI3342  fail: ISIRI3342
ISO_10367-BOX  fail: ISO_10367-BOX
ISO_10367BOX  fail: ISO_10367BOX
ISO-10646  fail: ISO-10646
ISO-10646/UCS2/  fail: ISO-10646/UCS2/
ISO-10646/UCS4/  fail: ISO-10646/UCS4/
ISO-10646/UTF-8/  fail: ISO-10646/UTF-8/
ISO-10646/UTF8/  fail: ISO-10646/UTF8/
ISO_11548-1  ok: ISO_11548-1
ISO11548-1  ok: ISO11548-1
ISO-2022-CN  fail: ISO-2022-CN
